                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                      #                                                                                                                       
                                                                                                                                     P+# ###                                                                                                                  
                                                                                                                                     #+##+++#                                                                                                                 
                                                                                                                                     C++++++#                                                                                                                 
                                                                                                                                     #+##+++#                                                                                                                 
                                                                                                                            #      # #+# ###                                                                                                                  
                                                                                                                           #+#    #+##+#                                                                                                                      
                                                                                                                ####       #+#    #+##+##                                                                                                                     
                                                                                                               #++++###C####+# #  #++++++#                                                                                                                    
                                                                                                               #+++++++++++++##+##++#####                                                                                                                     
                                                                                                                #####P++++##+##+# #+#######                                                                                                                   
                                                                                                                     #+### #+##++##++++++++#                                                                                                                  
                                                                                                                     #+# # #+##+# #+#######                                                                                                                   
                                                                                                                      # #+##+##+# #+#                                                                                                                         
                                                                                                                     ####+##++++##+++########                                                                                                                 
                                                                                                                    #++++++++++++++++++++++++#                                                                                                                
                                                                                                                  #####+##########+++########                                                                                                                 
                                                                                                                 #+++##+#      #  #+#  #                                                                                                                      
                                                                                                                 #++++++#     #+# #+###+#####    #                                                                                                            
                                                                                                                 #+++##+# #####+# #++++++++++#  #+#                                                                                                           
                                                                                                                  #+# #+##++++++# #++########   #+#                                                                                                           
                                                                                                                  #+#  #  #####+# #++########   #+#                                                                                                           
                                                                                                                 #+++#      # #+# #++++++++++#  #+#                                                                                                           
                                                                                                                 #+++#     #+##+# #+######+######+#                                                                                                           
                                                                                                                 #+++#    ##+##+###+##  ##+##+++#+####                                                                                                        
                                                                                                                  ###    #+++++0++++++##++++++++++++++#                                                                                                       
                                                                                                                          #####+######  ##+##+++##+###                                                                                                        
                                                                                                                          #####+######## #+# #+# #+#                                                                                                          
                                                                                                                         #++++++++++++++# #  #+# #+#                                                                                                          
                                                                                                                        # ##+##+####+###    #+++##+#                                                                                                          
                                                                                                                       #+# #+##+# ##+#      #+++##+#                                                                                                          
                                                                                                                       #+# #++## #+++#      #+++##+#                                                                                                          
                                                                                                               ########+++##++#   #++# #     ### #+#                                                                                                          
                                                                                                              #+++++++++#+##++# ###++##+#         #                                                                                                           
                                                                                                             # ####+###+++P#++##+++++##+########                                                                                                              
                                                                                                            #+#   #+#  #+# #+#  ####+##+++++++++#                                                                                                             
                                                                                                            #+#    #   #+# #+#     #+##+##++++##                                                                                                              
                                                                                                          ###+#########+++##+# ####+++#+######                                                                                                                
                                                                                                         #+++++++++++++++++++##+++++++++++++++#                                                                                                               
                                                                                                          ####+##++++##+++##+# ####+++##+#####                                                                                                                
                                                                                                             #+##+### ##+# #+#     #+# #+#  ###                                                                                                               
                                                                                                             #++#+## #+++# #+# #####+##+++##+++########                                                                                                       
                                                                                                             #++#+++# ##+## # #++++++##+#++++#+++++++++#                                                                                                      
                                                                                                             #++#+##   #+++#   #####+##+++##+++########                                                                                                       
                                                                                                             #++#+#    #+##        #+# #+#  ###                                                                                                               
                                                                                                              ## #     #+#         #+# #+#                                                                                                                    
                                                                                                                        #           # #+++######                                                                                                              
                                                                                                                                      #+++++++++#                                                                                                             
                                                                                                                                      #+++##++++#                                                                                                             
                                                                                                                                       ###  ####                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                              
